"","data.Date","Track","Surface","Jockey","Country","TrainerName","RaceType","Race.Number","Distance","Prize.money","Starting.position","Jockey.weight","Horse.age","Race.time","Path","Final.place","FGrating","Odds"
"1","03.09.2017","Sha Tin","Gress","K C Leung","Sverige","CH Yip","Handicap",10,1400,1310000,6,52,7,83.38,2,9,110,22
"2","16.09.2017","Sha Tin","Gress","C Y Ho","Sverige","CH Yip","Handicap",10,1400,1310000,14,52,7,81.56,3,4,124,48
"3","14.10.2017","Sha Tin","Gress","C Y Ho","Sverige","CH Yip","Handicap",10,1400,1310000,8,52,7,82.36,1,6,118,11
"4","11.11.2017","Sha Tin","Gress","Brett Prebble","Sverige","CH Yip","Handicap",9,1600,1310000,13,54,7,96.53,0,8,107,11
"5","26.11.2017","Sha Tin","Gress","C Y Ho","Sverige","CH Yip","Handicap",9,1600,1310000,9,52,7,94.17,0,3,123,40
"6","10.12.2017","Sha Tin","Gress","C Y Ho","Sverige","CH Yip","Handicap",1,1800,1310000,4,52,7,107.92,2,3,123,0
"7","01.01.2018","Sha Tin","Gress","C Schofield","Sverige","CH Yip","Handicap",9,1800,1310000,9,54,8,108.63,5,1,125,0
"8","04.02.2018","Sha Tin","Gress","Joao Moreira","Sverige","CH Yip","Handicap",5,1800,1310000,6,57,8,108.19,0,4,122,0
"9","03.03.2018","Sha Tin","Gress","C Y Ho","Sverige","CH Yip","Handicap",8,1800,1310000,3,56,8,107.65,1,3,125,9
"10","11.03.2018","Sha Tin","Gress","C Y Ho","Sverige","CH Yip","Handicap",10,1600,1310000,8,57,8,94.46,1,6,124,14
"11","28.03.2018","Happy Valley","Gress","M F Poon","Sverige","CH Yip","Handicap",8,1800,1310000,9,53,8,109.59,3,9,117,13
"12","11.04.2018","Happy Valley","Gress","W M Lai","Sverige","CH Yip","Handicap",6,1650,1310000,11,55,8,101.07,4,8,114,21
"13","25.04.2018","Happy Valley","Gress","W M Lai","Sverige","CH Yip","Handicap",3,2200,1310000,2,54,8,138.21,5,10,120,35
"14","09.05.2018","Happy Valley","Gress","W M Lai","Sverige","CH Yip","Handicap",7,1650,1310000,3,54,8,102.29,2,9,111,46
"15","22.09.2018","Sha Tin","Gress","C Y Ho","Sverige","CH Yip","Handicap",4,1600,920000,11,57,8,94.34,3,4,121,14
"16","07.10.2018","Sha Tin","Gress","C Y Ho","Sverige","CH Yip","Handicap",6,1600,920000,9,56,8,94.98,2,5,119,0
"17","02.12.2018","Sha Tin","Dirt","C Schofield","Sverige","CH Yip","Handicap",3,1800,920000,1,57,8,109.26,0,3,116,0
"18","23.12.2018","Sha Tin","Gress","Silvestre De Sousa","Sverige","CH Yip","Handicap",2,2000,920000,6,59,8,123.99,3,1,122,0
"19","17.02.2019","Sha Tin","Gress","C Wong","Sverige","CH Yip","Handicap",1,2000,920000,4,57,9,124.12,4,6,117,0
"20","06.12.2017","Happy Valley","Gress","Z Purton","Danmark","CS Shum","Handicap",9,1800,1860000,5,55,5,109.58,3,6,131,0
"21","01.10.2017","Sha Tin","Gress","Z Purton","Irland","AS Cruz","Handicap",7,1000,3000000,8,60,6,57.05,0,9,144,10
"22","22.10.2017","Sha Tin","Gress","M Chadwick","Irland","AS Cruz","Handicap",7,1200,4000000,2,60,6,68.66,0,8,137,36
